SPDP;曲名;難易度;Lv;SCORE;Crank;Crump;Fskill;Frank
SP;君氏危うくも近うよれ;beginner;Lv;0;NONE;Noplay;0;NONE
SP;君氏危うくも近うよれ;basic;Lv;0;NONE;Noplay;0;NONE
SP;君氏危うくも近うよれ;difficult;Lv;0;NONE;Noplay;0;NONE
SP;君氏危うくも近うよれ;expert;Lv;0;NONE;Noplay;0;NONE
SP;激アツ☆マジヤバ☆チアガール;beginner;Lv;0;NONE;Noplay;0;NONE
SP;激アツ☆マジヤバ☆チアガール;basic;Lv;0;NONE;Noplay;0;NONE
SP;激アツ☆マジヤバ☆チアガール;difficult;Lv;0;NONE;Noplay;0;NONE
SP;激アツ☆マジヤバ☆チアガール;expert;Lv;998320;AAA;GFC;872;EX
SP;月光蝶;beginner;Lv;0;NONE;Noplay;0;NONE
SP;月光蝶;basic;Lv;0;NONE;Noplay;0;NONE
SP;月光蝶;difficult;Lv;0;NONE;Noplay;0;NONE
SP;月光蝶;expert;Lv;0;NONE;Noplay;0;NONE
SP;幻想系世界修復少女;beginner;Lv;0;NONE;Noplay;0;NONE
SP;幻想系世界修復少女;basic;Lv;0;NONE;Noplay;0;NONE
SP;幻想系世界修復少女;difficult;Lv;0;NONE;Noplay;0;NONE
SP;幻想系世界修復少女;expert;Lv;93030;E;Noplay;0;NONE
SP;恋時雨;beginner;Lv;0;NONE;Noplay;0;NONE
SP;恋時雨;basic;Lv;0;NONE;Noplay;0;NONE
SP;恋時雨;difficult;Lv;999620;AAA;PFC;536;EX
SP;恋時雨;expert;Lv;974270;AA+;GFC;0;NONE
SP;恋する☆宇宙戦争っ!!;beginner;Lv;0;NONE;Noplay;0;NONE
SP;恋する☆宇宙戦争っ!!;basic;Lv;869290;A+;Clear;0;NONE
SP;恋する☆宇宙戦争っ!!;difficult;Lv;796140;A-;Clear;0;NONE
SP;恋する☆宇宙戦争っ!!;expert;Lv;972720;AA+;FC;0;NONE
SP;恋する☆宇宙戦争っ!!;challenge;Lv;957020;AA+;Clear;673;1
SP;恋のパズルマジック;beginner;Lv;0;NONE;Noplay;0;NONE
SP;恋のパズルマジック;basic;Lv;0;NONE;Noplay;0;NONE
SP;恋のパズルマジック;difficult;Lv;0;NONE;Noplay;0;NONE
SP;恋のパズルマジック;expert;Lv;0;NONE;Noplay;0;NONE
SP;恋の氷結おてんば湯けむりチルノ温泉;beginner;Lv;0;NONE;Noplay;0;NONE
SP;恋の氷結おてんば湯けむりチルノ温泉;basic;Lv;0;NONE;Noplay;0;NONE
SP;恋の氷結おてんば湯けむりチルノ温泉;difficult;Lv;0;NONE;Noplay;0;NONE
SP;恋の氷結おてんば湯けむりチルノ温泉;expert;Lv;873440;A+;Clear;0;NONE
SP;恋はどう？モロ◎波動OK☆方程式！！;beginner;Lv;0;NONE;Noplay;0;NONE
SP;恋はどう？モロ◎波動OK☆方程式！！;basic;Lv;0;NONE;Noplay;0;NONE
SP;恋はどう？モロ◎波動OK☆方程式！！;difficult;Lv;0;NONE;Noplay;0;NONE
SP;恋はどう？モロ◎波動OK☆方程式！！;expert;Lv;945870;AA;Clear;0;NONE
SP;紅焔;beginner;Lv;0;NONE;Noplay;0;NONE
SP;紅焔;basic;Lv;0;NONE;Noplay;0;NONE
SP;紅焔;difficult;Lv;0;NONE;Noplay;0;NONE
SP;紅焔;expert;Lv;973220;AA+;FC;0;NONE
SP;紅焔;challenge;Lv;946580;AA;Clear;0;NONE
SP;ここからよろしく大作戦143;beginner;Lv;0;NONE;Noplay;0;NONE
SP;ここからよろしく大作戦143;basic;Lv;0;NONE;Noplay;0;NONE
SP;ここからよろしく大作戦143;difficult;Lv;0;NONE;Noplay;0;NONE
SP;ここからよろしく大作戦143;expert;Lv;0;NONE;Noplay;0;NONE
SP;この青空の下で;beginner;Lv;0;NONE;Noplay;0;NONE
SP;この青空の下で;basic;Lv;0;NONE;Noplay;0;NONE
SP;この青空の下で;difficult;Lv;0;NONE;Noplay;0;NONE
SP;この青空の下で;expert;Lv;0;NONE;Noplay;0;NONE
SP;この子の七つのお祝いに;beginner;Lv;0;NONE;Noplay;0;NONE
SP;この子の七つのお祝いに;basic;Lv;0;NONE;Noplay;0;NONE
SP;この子の七つのお祝いに;difficult;Lv;0;NONE;Noplay;0;NONE
SP;この子の七つのお祝いに;expert;Lv;937940;AA;Clear;0;NONE
SP;コメット⇒スケイター;expert;Lv;948200;AA;Clear;0;NONE
SP;混乱少女♥そふらんちゃん!!;difficult;Lv;839320;A;Clear;577;1
SP;混乱少女♥そふらんちゃん!!;expert;Lv;833150;A;Clear;673;1
SP;最終鬼畜妹フランドール・Ｓ;beginner;Lv;0;NONE;Noplay;0;NONE
SP;最終鬼畜妹フランドール・Ｓ;basic;Lv;940280;AA;Clear;0;NONE
SP;最終鬼畜妹フランドール・Ｓ;difficult;Lv;868550;A+;Clear;0;NONE
SP;最終鬼畜妹フランドール・Ｓ;expert;Lv;902850;AA;Clear;0;NONE
SP;最小三倍完全数;beginner;Lv;0;NONE;Noplay;0;NONE
SP;最小三倍完全数;basic;Lv;0;NONE;Noplay;0;NONE
SP;最小三倍完全数;difficult;Lv;723810;B;Clear;0;NONE
SP;最小三倍完全数;expert;Lv;0;NONE;Noplay;0;NONE
SP;最速最高シャッターガール;beginner;Lv;0;NONE;Noplay;0;NONE
SP;最速最高シャッターガール;basic;Lv;0;NONE;Noplay;0;NONE
SP;最速最高シャッターガール;difficult;Lv;0;NONE;Noplay;0;NONE
SP;最速最高シャッターガール;expert;Lv;987800;AA+;GFC;954;9
SP;最速最高シャッターガール;challenge;Lv;313010;E;Noplay;0;NONE
