SPDP;Version;曲名;難易度;Lv;SCORE;Crank;Crump;Fskill;Frank;Notes
SP;1;PUT YOUR FAITH IN ME (Jazzy Groove);beginner;2;0;NONE;Noplay;0;NONE;67/0
SP;1;PUT YOUR FAITH IN ME (Jazzy Groove);basic;6;0;NONE;Noplay;0;NONE;149/0
SP;1;PUT YOUR FAITH IN ME (Jazzy Groove);difficult;7;0;NONE;Noplay;0;NONE;167/0
SP;1;PUT YOUR FAITH IN ME (Jazzy Groove);expert;9;997740;AAA;GFC;0;NONE;208/0
SP;1;PUT YOUR FAITH IN ME (Jazzy Groove);challenge;11;0;NONE;Noplay;0;NONE;230/12
SP;1;SP-TRIP MACHINE～JUNGLE MIX～;beginner;4;0;NONE;Noplay;0;NONE;
SP;1;SP-TRIP MACHINE～JUNGLE MIX～;basic;8;0;NONE;Noplay;0;NONE;
SP;1;SP-TRIP MACHINE～JUNGLE MIX～;difficult;9;0;NONE;Noplay;0;NONE;
SP;1;SP-TRIP MACHINE～JUNGLE MIX～;expert;10;992950;AAA;FC;0;NONE;
SP;2;AFRONOVA;beginner;5;0;NONE;Noplay;0;NONE;108/0
SP;2;AFRONOVA;basic;7;0;NONE;Noplay;0;NONE;214/0
SP;2;AFRONOVA;difficult;9;0;NONE;Noplay;0;NONE;244/0
SP;2;AFRONOVA;expert;13;979330;AA+;GFC;0;NONE;370/0
SP;2;AFTER THE GAME OF LOVE;beginner;2;0;NONE;Noplay;0;NONE;41/0
SP;2;AFTER THE GAME OF LOVE;basic;3;0;NONE;Noplay;0;NONE;72/0
SP;2;AFTER THE GAME OF LOVE;difficult;6;0;NONE;Noplay;0;NONE;168/0
SP;2;AFTER THE GAME OF LOVE;expert;8;0;NONE;Noplay;0;NONE;207/0
SP;2;CUTIE CHASER;beginner;3;0;NONE;Noplay;0;NONE;82/0
SP;2;CUTIE CHASER;basic;5;0;NONE;Noplay;0;NONE;148/0
SP;2;CUTIE CHASER;difficult;7;0;NONE;Noplay;0;NONE;185/0
SP;2;CUTIE CHASER;expert;10;0;NONE;Noplay;0;NONE;256/0
SP;2;DEAD END;beginner;4;0;NONE;Noplay;0;NONE;115/0
SP;2;DEAD END;basic;7;0;NONE;Noplay;0;NONE;216/0
SP;2;DEAD END;difficult;10;0;NONE;Noplay;0;NONE;337/0
SP;2;DEAD END;expert;12;992810;AAA;FC;816;EX;410/0
SP;2;DROP THE BOMB;beginner;3;0;NONE;Noplay;0;NONE;122/0
SP;2;DROP THE BOMB;basic;5;0;NONE;Noplay;0;NONE;199/0
SP;2;DROP THE BOMB;difficult;7;0;NONE;Noplay;0;NONE;238/0
SP;2;DROP THE BOMB;expert;10;0;NONE;Noplay;0;NONE;304/0
SP;2;DYNAMITE RAVE;beginner;3;0;NONE;Noplay;0;NONE;110/0
SP;2;DYNAMITE RAVE;basic;6;0;NONE;Noplay;0;NONE;188/0
SP;2;DYNAMITE RAVE;difficult;10;0;NONE;Noplay;0;NONE;269/0
SP;2;DYNAMITE RAVE;expert;12;972040;AA+;Life4;0;NONE;398/0
SP;2;DYNAMITE RAVE;challenge;12;0;NONE;Noplay;0;NONE;362/6
SP;2;GRADIUSIC CYBER ～AMD G5 MIX～;beginner;3;0;NONE;Noplay;0;NONE;
SP;2;GRADIUSIC CYBER ～AMD G5 MIX～;basic;8;0;NONE;Noplay;0;NONE;
SP;2;GRADIUSIC CYBER ～AMD G5 MIX～;difficult;10;0;NONE;Noplay;0;NONE;
SP;2;GRADIUSIC CYBER ～AMD G5 MIX～;expert;13;726420;E;Noplay;0;NONE;
SP;2;La Señorita;beginner;4;0;NONE;Noplay;0;NONE;125/0
SP;2;La Señorita;basic;7;0;NONE;Noplay;0;NONE;241/0
SP;2;La Señorita;difficult;8;0;NONE;Noplay;0;NONE;255/0
SP;2;La Señorita;expert;10;0;NONE;Noplay;0;NONE;294/0
SP;2;La Señorita Virtual;beginner;4;0;NONE;Noplay;0;NONE;121/0
SP;2;La Señorita Virtual;basic;8;0;NONE;Noplay;0;NONE;270/0
SP;2;La Señorita Virtual;difficult;10;0;NONE;Noplay;0;NONE;334/0
SP;2;La Señorita Virtual;expert;12;0;NONE;Noplay;0;NONE;359/0
SP;2;LOVE THIS FEELIN';beginner;4;0;NONE;Noplay;0;NONE;76/0
SP;2;LOVE THIS FEELIN';basic;9;0;NONE;Noplay;0;NONE;210/0
SP;2;LOVE THIS FEELIN';difficult;10;0;NONE;Noplay;0;NONE;225/0
SP;2;LOVE THIS FEELIN';expert;11;0;NONE;Noplay;0;NONE;242/0
SP;2;PARANOiA Rebirth;beginner;4;0;NONE;Noplay;0;NONE;117/0
SP;2;PARANOiA Rebirth;basic;8;0;NONE;Noplay;0;NONE;280/0
SP;2;PARANOiA Rebirth;difficult;10;0;NONE;Noplay;0;NONE;322/0
SP;2;PARANOiA Rebirth;expert;13;982210;AA+;GFC;839;9;433/0
SP;2;Silent Hill;beginner;3;0;NONE;Noplay;0;NONE;85/0
SP;2;Silent Hill;basic;4;0;NONE;Noplay;0;NONE;117/0
SP;2;Silent Hill;difficult;9;0;NONE;Noplay;0;NONE;202/0
SP;2;Silent Hill;expert;10;0;NONE;Noplay;0;NONE;265/0
SP;2;think ya better D;beginner;3;0;NONE;Noplay;0;NONE;84/0
SP;2;think ya better D;basic;5;0;NONE;Noplay;0;NONE;148/0
SP;2;think ya better D;difficult;6;0;NONE;Noplay;0;NONE;177/0
SP;2;think ya better D;expert;9;0;NONE;Noplay;0;NONE;237/0
SP;2;TRIP MACHINE～luv mix～;beginner;3;0;NONE;Noplay;0;NONE;
SP;2;TRIP MACHINE～luv mix～;basic;9;0;NONE;Noplay;0;NONE;
SP;2;TRIP MACHINE～luv mix～;difficult;10;0;NONE;Noplay;0;NONE;
SP;2;TRIP MACHINE～luv mix～;expert;12;0;NONE;Noplay;0;NONE;
SP;3;BABY BABY GIMME YOUR LOVE;beginner;2;0;NONE;Noplay;0;NONE;52/0
SP;3;BABY BABY GIMME YOUR LOVE;basic;2;0;NONE;Noplay;0;NONE;62/0
SP;3;BABY BABY GIMME YOUR LOVE;difficult;4;0;NONE;Noplay;0;NONE;110/0
SP;3;BABY BABY GIMME YOUR LOVE;expert;7;0;NONE;Noplay;0;NONE;163/0
SP;3;BURNIN' THE FLOOR;beginner;3;0;NONE;Noplay;0;NONE;114/0
SP;3;BURNIN' THE FLOOR;basic;5;0;NONE;Noplay;0;NONE;177/0
SP;3;BURNIN' THE FLOOR;difficult;8;0;NONE;Noplay;0;NONE;244/0
SP;3;BURNIN' THE FLOOR;expert;10;0;NONE;Noplay;0;NONE;309/0
SP;3;B4U;beginner;3;0;NONE;Noplay;0;NONE;104/0
SP;3;B4U;basic;5;0;NONE;Noplay;0;NONE;188/0
SP;3;B4U;difficult;7;0;NONE;Noplay;0;NONE;238/0
SP;3;B4U;expert;10;999550;AAA;PFC;640;EX;325/0
SP;3;CAN'T STOP FALLIN' IN LOVE;beginner;3;0;NONE;Noplay;0;NONE;93/0
SP;3;CAN'T STOP FALLIN' IN LOVE;basic;5;0;NONE;Noplay;0;NONE;160/0
SP;3;CAN'T STOP FALLIN' IN LOVE;difficult;7;0;NONE;Noplay;0;NONE;235/0
SP;3;CAN'T STOP FALLIN' IN LOVE;expert;11;0;NONE;Noplay;0;NONE;328/0
SP;3;CELEBRATE NITE;beginner;3;0;NONE;Noplay;0;NONE;92/0
SP;3;CELEBRATE NITE;basic;6;0;NONE;Noplay;0;NONE;171/0
SP;3;CELEBRATE NITE;difficult;8;0;NONE;Noplay;0;NONE;198/0
SP;3;CELEBRATE NITE;expert;11;0;NONE;Noplay;0;NONE;277/0
SP;3;Don't Stop!～AMD 2nd MIX～;beginner;3;0;NONE;Noplay;0;NONE;
SP;3;Don't Stop!～AMD 2nd MIX～;basic;5;0;NONE;Noplay;0;NONE;
SP;3;Don't Stop!～AMD 2nd MIX～;difficult;6;0;NONE;Noplay;0;NONE;
SP;3;Don't Stop!～AMD 2nd MIX～;expert;10;0;NONE;Noplay;0;NONE;
